句子索引,行号,原始文本
1000,2104,"5. 辩论。 所谓辩论，是参加者双方，就同一问题，站在对立的
立场上，进行针锋相对的论争。"
1001,2104,"其目的是，辨明真理，提高口头表达
能力。"
1002,2104,"我们要教育学生习惯于说理，而不是争吵; 习惯于质疑，也习
惯于答辩; 习惯于立论，也习惯于反驳。"
1003,2104,"我们有过辩论的教学历史，
现在应该再把它纳入教学计划之内。"
1004,2104,"组织辩论比组织讨论、 讲演等更
复杂些，尤其需要做好组织领导工作。"
1005,2104,"首先是帮助学生确定题目，要
求是: 一要同学生的思想和生活紧密相关，于他们有益; 二要有明显
的分歧，能够树立起对立面; 三要学生感兴趣，能引起辩论的热情。"
1006,2112,其次是指导学生翻阅资料，教给辩论的方法和辩论的程序、 规则等。
1007,2113,至于辩论的内容，则要由学生自己准备。
1008,2113,可写成文稿或提要，但辩论
1009,2114,时要备而不用。
1010,2114,再次是做好组织工作。
1011,2114,"辩论能否形成，要看意见是否
交锋。"
1012,2114,"因此，在辩论之前，教师或辩论的双方要说明分歧的由来，明
确论争的焦点，同时宣布辩论的规则，诸如要回答对方的问题，要以
理服人，要让对方把话说完，以及要严肃而有礼貌等。"
1013,2114,"参加辩论的人
数，双方要相等，每方一人为主辩人，其他为副辩人。"
1014,2114,"教师和同学做
评判员。"
1015,2122,6. 演剧。 这在我们是较生疏的，但在国外却是极平常的活动。
1016,2123,"在一些国家里，从幼儿园到中学，普遍注意到练演剧，把演剧看作是
教学的有益的组织形式，是语言教育的必要手段。"
1017,2123,"下面介绍的是可资
借鉴的做法。"
1018,2123,演剧训练一般分为两个步骤。
1019,2123,"第一步是即席表演和朗读
台词。"
1020,2123,"分角色朗读 ( 简单对白形式)，我们也曾进行过，但表演化，
好像曾当作禁戒。"
1021,2123,"其实，它也和朗读台词一样，可以在讲读剧本时随
时进行，至于在课外，更有着广阔天地。"
1022,2123,"在有的国家，到了中年级特
别是高年级，便开始指导学生排演剧本的选场，目的在于 “磨炼学生
的动作、 手势和语调”。"
1023,2123,"起初两三人表演，然后分组表演最重要的场
面。"
1024,2123,"在小学里，占主要地位的是木偶戏，学生自己制作木偶、 服装和
布置舞台。"
1025,2123,在中学，木偶戏也是一种主要的演剧形式。
1026,2123,"戏剧的语言，
是最精彩最口语化的语言，指导学生复现剧本语言，对提高说话能力
有着特殊作用。"
1027,2136,"7. 即席专题讲述。 在香港的谈话训练中有 “即席专题讲述” 一
项。"
1028,2136,做法是，教师先预备好一些有趣味的题目，放在纸盒里。
1029,2136,"活动进
行时，学生在纸盒里抽出一个题目，即席依据题目指示，作一简短的
讲述。"
1030,2136,"我们觉得，这样的训练形式，对于培养学生的敏捷构思、 迅速
措辞的能力，可能有它独特的作用，我们也不妨采用。"
1031,2136,"至于说话题
目，可以说俯拾即是，比如，简述当日的生活过程，简述刚刚学过的
一节课的内容，简述一项重要新闻的梗概，简述班级刚发生过的一件
事，简述一次实验课的经过，简述一种学习方法，等等。"
1032,2146,"8. 模拟日常生活环境作口头表达能力的练习。 这也是香港语文
教学中使用的一种说话训练形式。"
1033,2146,"做法是，设想实际生活中的接待、
访问、 致辞、 口试、 慰问、 电话对话等特定环境，做相应的口语模拟
练习。"
1034,2146,在低年级，进行一点这样的训练，恐怕还是有一定必要的。
1035,2150,三、 说话训练成功的条件
1036,2151,"期望说话训练成功，可能需要种种条件，其中有两条是至关重要
的。"
1037,2151,一条是教师的积极态度，一条是处理好说和听、 读、 写的关系。
1038,2154,(一) 教师的积极态度
1039,2155,"怎样才算态度积极? 一要为学生创造说话的条件，一要随时给以
热情鼓励。"
1040,2159,"主要是在熟悉学生的生活领域，把握他们说话兴趣的前提下，指
导他们确立话题和主旨，开辟创造性说话的途径，提供适于说话的环
境，介绍训练说话的资料，选择说话训练的形式等。"
1041,2163,教师的态度是否积极，还表现在能否给学生热情鼓励上。
1042,2163,"首先应
该尊重学生说话的兴趣和意向，对于说话的内容和方法，只给指引，
不取强制态度。"
1043,2163,"教师要通过自己的热情鼓励，改变一些学生不爱说话
的性格，矫正学生说话语病多的缺点，扭转一些学生想说而又默不作
声的心理状态，丰富所有学生的语言生活。"
1044,2163,"纠正缺点时，要热情、 耐
心，而不要过高、 过细、 过急。"
1045,2163,"比如学生缺少恰当的词汇时，可热情
帮助寻找; 句子表达不完整时，可耐心地让再说一遍; 说得层次不清
或不连贯时，也轻易不要打断思路，可让他们回味一下，写成个提纲
再说，或者让他们读一段内容相似的文章，或者听听别人的发言，以
便通过比较，从中得到借鉴。"
1046,2174,"(二) 处理好说和听、 读、 写的关系
说话和听话、 阅读、 写作三者是相互制约的，处理好它们的关
系，可以相得益彰，共同促进。"
1047,2179,说话和听话密不可分。
1048,2179,"说话处处要考虑到听者，为听者改善说话
技术。"
1049,2179,"就说话本身来说，必须把自己的说话和听话结合起来进行训
练。"
1050,2179,"为使说和听的训练结合，可从训练学生注意倾听教师讲课和同学
互相听话开始，进一步在朗读、 背诵、 复述和讨论中训练。"
1051,2183,说话训练和阅读训练，既要区别开，又要结合着进行。
1052,2183,"说表现为
语言，读的是文字，说是表达，读是理解，这种不同，常常要求分别
训练。"
1053,2183,"但它们又同属语文能力训练范围，在实际训练中，又往往不可
分。"
1054,2183,说的内容大都来自读物。
1055,2183,"课文的语言是标准的规范的语言，大都
是语言的精华，教师既要指导学生通过书面语训练学习课文语言，又
要通过口语训练学习课文语言，从两方面使作家的语言化为学生所
有。"
1056,2183,这就要求加强课文朗读、 课文复述、 课文问答和课文讨论等环节。
1057,2190,这样的读说，结合得越紧，越有助于达成听、 说、 读、 写多重目标。
1058,2191,说话和写作训练也应该有区别有联结。
1059,2191,"说和写都是语言表达，而
表达的基础都是思维，表达的对象都是事物，表达的目标都是理解，
这样，对二者的训练就不能不有许多共同点，在训练安排上就常常需
要结合起来进行。"
1060,2191,"或者先说后写，或者先写后说，或者说中有写，写
中有说，使之相辅相成。"
1061,2191,"但是，它们一是口头的，一是书面的，表达
的语言形态不同，在训练中就有许多不同点。"
1062,2191,"就中，最明显的是，说
话是以声音为表达手段，因此包括语音训练，要有音高、 音速、 音调
等方面的特殊要求。"
1063,2191,"同时，说话比文字更能反映出思想感情，因此又
要注意语感、 情态和表达感情的技巧训练。"
1064,2191,"此外，说话训练往往还要
借助身姿和手势的帮助。"
1065,2191,"基于这种特殊性，说话训练自有它自己的要
求，因而可以适当独立地进行。"
1066,2203,(原载 《中学语文教学》 1981 年第 5 期)
1067,2204,"作为学校之一科目的语文，它的名称的含义是什
么，怎样解释才恰当，长期以来成了人们不断寻求答案
的对象。"
1068,2204,有过种种解释，并且每种解释都博得过赞同。
1069,2208,但迄今为止，似乎还没有一种解释是被普遍接受的。
1070,2208,"这
里，也想略陈己见，以就正于大家。"
1071,2210,"本来，我国自 1902 年全面实行现代学制时起，就
在中小学设置了语文学科。"
1072,2210,"到了国民党统治时期，还有
了进一步发展，大学一年级也随之增设，即所谓大一
“国文”。"
1073,2210,"近二三年来，鉴于中学语文训练的不足，越来
越多的大学也把语文列入一年级的课程表内。"
1074,2210,"这就不免
引人思考这样一门具有 80 年历史，又遍设于小中大三
级学校的学科，为什么连它的名称—
—
—语文该作如何解
释，竟然还是个讨论的问题呢?
我想，这可能源于以下两个事实一是语文在发展过程中的不成熟
性，一是语文一词的多义性和人们语文教育观的差异性。"
1075,2223,"首先，这门学科名称的屡屡变更，就反映了它的性质和内容方面
的不成熟性，因而增加了人们把握它的属性的困难。"
1076,2223,"以下是语文的历
史发展变化过程。"
1077,2227,"1902 年，我国公布 “壬寅学制” (四年制)，中等教育正式确立，
设 12 门学科，语文定名为 “辞章”，课本由一般文言散文组成，目标
和内容是 “读法、 作法、 书法”。"
1078,2227,这时侧重的似乎是文章教育。
1079,2227,"一年
后的 1903 年，公布了 “癸卯学制”，改学制为 5 年，同时把 “辞章”
改称为 “中国文学”。"
1080,2227,"内容虽仍包括论说文教学，目标仍在于 “ 实
用”，但和 “辞章” 有别，侧重点转到了文学教育方面。"
1081,2227,"同时，作为
政治课的 “读经” (后又称 “读经讲经” ) 中，也含有语文课的因素
(台湾国民党政府，现在除 “国文” 外，还设有 “文化要义” 一科，
也含有语文的因素)。"
1082,2227,这就又从历史上进一层表明语文和政治的关联
1083,2236,"﹃
语
文
﹄
试
解"
1084,2244,性。
1085,2244,"辛亥革命后的 1913 年，当时的教育部颁布的课程标准中，一方
面废除了 “读经讲经” 课，一方面又把 “中国文学” 再更名为 “国
文”，进行讲读、 作文、 习字的教学，和关于文字源流、 文法要略、
文学史知识的讲授，其要旨 “ 在通解普通语言文字，能自由发表思
想，并使略解高深文字，涵养文学之兴趣，兼以启发智德”。"
1086,2244,"这就又
熔文字、 语言、 文学、 政治于一炉了。"
1087,2244,"及至 1923 年，鉴于标准语的
推行，小学语文教材中编入了语体文，并特设 “语言” 一项，教学侧
重于白话，专教标准语。"
1088,2244,"从这开始，又把口语教学列为重要内容之
一。"
1089,2244,"因此，小学改称 “国语” (又是个新名称)，中学因侧重文言，
故仍称 “国文”。"
1090,2244,"至于 “语文” 一名，则始于 1948 年华北人民政府教
科书编审委员会选用中小学课本之时。"
1091,2244,"那年五六月间，经委员会议决
定，把此前的 “国语” 和 “国文” “统而一之”，定名为 “语文”。"
1092,2244,"当
时对 “语文” 的解释是 “语，指口头语言; 文，指书面语言。”"
1093,2244,"这中
间，除了五十年代的一二年中，曾一度把 “语文” 分成 “汉语” 和
“文学” 两科外，“语文” 之称，一直延续至今。"
1094,2261,"就是这样，在为期 80 年的历史中，这一学科的名称就变更过六
七次 (这还不包括不同书局、 不同编者所立的其他名目)。"
1095,2261,"这期间，
它偏向过文章，偏向过文学，更偏向过文言，同时也曾强调过口语，
或者语言、 文字、 文学并重。"
1096,2261,"这一事实足以表明这个学科的不成熟
性，它是人们认识不成熟的反映。"
1097,2261,"它的这种长期处于变动之中的状
况，必然反过来影响人们对它的准确把握。"
1098,2261,"当我们寻求 “语文” 的确
切答案的时候，上述历史因素是不能不考虑到的。"
1099,2269,"其次，语文这个概念本就是多义，同时又因人们依据不同的语文
教育观去理解语文，也就自然会导致不同的解释。"
1100,2272,"语文从来都不止一种含义，人们的语文教育观又有种种，因之，
见仁见智，定义就有多种不同。"
1101,2272,"有解为语言文字的，有解为语言文章
的，有解为语言文学的，也有解为原是国语和国文的全称的，等等。"
1102,2276,"虽然这当中无论哪一种解释，都不是完备的答案，但也得承认，都不
无合理的因素，只不过是作解者或有所选取、 有所抛弃，或有所强
调、 有所贬低罢了。"
1103,2280,"这里，对语文含义的不同理解，实质上是关于语文科性质的不同
理解，而对性质理解的不同，既基于语文的多义性，又源于语文教育
观的差异性。"
1104,2280,"也因此，不论谁，要作出正确的回答，都要有个正确的
语文教育观。"
1105,2280,"语文的多义性是客观存在，语文教育观，则是人的主观
认识。"
1106,2280,客观的东西就是那样，问题全在于如何认识它。
1107,2280,"这也就表明，
我们的语文教育观是如何重要了。"
1108,2287,"那么，我个人是怎么认识的? 大概有这么两点: 一是根据今天的
实际去理解语文的含义; 二是根据不同级别的学校做不同的理解。"
1109,2289,历史是发展的，语文也是变化的。
1110,2289,"今天的语文不应同于昨天的语
文，明天的语文也不该是今天这个样子。"
1111,2289,"当初确定语文这个名称，赋
予语文以某种确定的含义，那是基于当时的现实 (主要是针对偏重文
言、 偏重书面语的片面性)，有其历史的必然性，但未必也能完全反
映几十年以后的语文，因之，就不该把它当成不变的结论。"
1112,2289,"毫无疑
问，在当时，能够口、 书面语并提，确是出于真知灼见，对于矫正时
弊，指导后来，都起了十分积极的作用。"
1113,2289,"但它不能完全指导今天，更
不会完全适合各级各类学校。"
1114,2289,"小中大学都设语文课程，但语文含义必
不会完全相同。"
1115,2289,"以我的理解，小学应该语言文字并重，口语书面语并
重，而在低年级，文字教学、 口语教学是主，高年级则应以语言教学
为中心。"
1116,2289,"中学虽也应口语书面语并重，并仍继续文字教学，但语言教
学应重于文学教学，而在初中，语言教学是主，高中的文学教学则应
上升到主要地位。"
1117,2289,"至于高等学校，其开设语文的目的，虽也追求阅读
的目标，更侧重在提高写作能力方面，而有的专业如中医专业、 各种
中国文献史专业，其出发点则又显然在文言的阅读方面。"
1118,2289,"这些，也都
是明显的事实。"
1119,2289,对此，如果一概不加分析，不从发展变化中认识事
1120,2305,物，都作一种解释，不容其他说法，实在不免有 “郑人买履” 之嫌。
1121,2307,"至于中学语文，从当前的实际情况出发，我以为可以作如下理解
既指文字，也指语言; 既指书面语，也指口语; 既指语言，也指文
学; 既指现代语，也指古代语。"
1122,2307,"而初中和高中，又因阶段不同，侧重
的方面也自该有所不同。"
1123,2307,"约言之，初中侧重语言，高中侧重文学; 初
中侧重记叙，高中侧重议论; 初中白话是主，高中虽也应以白话为
主，但文言方面也应适当注重。"
1124,2314,"以上浅见，提出来纯属探索性的，投给 《语文教学探索》 目的完
全在于探索。"
1125,2317,"(原载 《语文教学探索》 1982 年第 1 期，据 《朱绍禹文存》 吉林
人民出版社 2002 年版校录)"
1126,2320,"在中学语文教学整体中，课外阅读的重要性，大概
每位语文教师无不了解。"
1127,2320,"但是它在实现语文教学目标
中，究竟起着什么样的作用，这些作用可能达到什么程
度，以及它具有怎样的思想意义和实践价值，就是需要
我们加深认识的了。"
1128,2320,"至于指导课外阅读的途径和步骤该
是怎样的，可供采用的指导形式和方法有哪些，有些什
么样的重要问题值得特别注意等等，就更不一定是人人
能做出阅读答案的，仅就个人所知，指导好课外阅读的
虽然到处都有，却似乎从来就不多，至少没有指导好课
内阅读的那么多。"
1129,2320,"这正是我们需要深入探讨这个问题的
主要原因。"
1130,2332,"课外阅读指导的作用和意义
阅读是学习的一种基本途径，是认识世界的一种主要手段，又是
人们生活中长期持续的活动。"
1131,2332,"阅读的这种重要性和持续性，首先意味
着作为基础教育的中学语文教学，要始终把阅读当作一个基本目标聞
以追求，不可稍懈。"
1132,2338,语文阅读教学的基本形式是课内阅读教学。
1133,2338,"学生的语文阅读兴
趣、 阅读能力和阅读习惯，主要靠课内阅读来培养。"
1134,2338,"从这个意义上
说，课外阅读是课内阅读的辅助形式。"
1135,2338,"但是，它却是个极重要的辅助
形式，积极地推进课外阅读，给课内阅读以有力的补充和配合，从来
都异常重要，今后将更加显示出其重要性来。"
1136,2344,"不管课内阅读的效率多高，没有课外读的有力配合，就不可能获
得十足的成效。"
1137,2344,"未见有只靠课内阅读而语文能力高的学生，也未见勤
于课外阅读而语文能力低的学生。"
1138,2344,"语文教学的实践有力地证明，凡是
课外阅读指导得好的，语文教学效率就高，成果就大。"
1139,2344,学生个人的语
1140,2348,"中
学
语
文
课
的
课
外
阅
读
指
导"
1141,2362,"文学习实践也证明，凡是课外阅读得多，语文能力提高就快，学习效
果就好。"
1142,2362,"有的语文教育专家反复提到这样的事实他问语文学习好的学
生学好语文的原因，得到的回答是，得力于课外阅读。"
1143,2362,"这个回答、 在
我们看来，虽然有些无视课内阅读教学的先导的示范作用，但至少也
表明了课外阅读可能起到的作用。"
1144,2369,"课外阅读教学的作用和意义远不止一端，概述起来，主要有
第一，继续课内阅读，巩固课内阅读的成果。"
1145,2369,"任何一项语文知识
的把握、 任何一篇课文的理解，都不是一次完成的。"
1146,2369,"一般都要经过反
复多次地学习、 才可能理解得深，记忆得牢。"
1147,2369,"而这反复多次的功效，
就要通过课外阅读的形式来获得。"
1148,2369,"这样，课外阅读就起了促进课内阅
读、 强化课内阅读的作用。"
1149,2376,第二，扩大阅读领域，发展阅读能力。
1150,2376,"这是课外阅读的又一个作
用和意义所在。"
1151,2376,"扩大阅读领域之所以必要，首先，是因为社会生活对
阅读能力的广泛的需要，在文字材料越来越多的现代社会，人类的阅
读范围日见扩大，而课内阅读的内容极为有限，远不能满足发展阅读
能力的需要。"
1152,2376,"如果学生的阅读范围限于课内，那么他们的课外阅读却
可给以满足。"
1153,2376,"其次，还因为课内阅读教材的可变性小，最新的文章不
可能随时采纳进来，而课外阅读却能使学生接触到刚刚出现的读物，
从而弥补课内阅读的不及时性。"
1154,2385,第三，锻炼思维，发展智力。
1155,2385,"锻炼思维，发展智力的途径有种
种，就中学生而言，他们的智力主要是通过阅读、 写作和计算等三种
基本训练反映出来的。"
1156,2385,"其中，阅读训练具有先行的作用，是尤为重要
的一种智力训练途径。"
1157,2385,"中学生的智力发展，在相当大的程度上，首先
取决于阅读训练，可以毫不夸大地说，它在发展智力方面之作用，并
不低于数学课的计算训练。"
1158,2385,"古今中外，恐怕很少有阅读能力低而智力
高的人。"
1159,2385,"这是因为智力的发展核心是思维，而思维又和语言密不可
分，阅读正是思维和语言的双重训练，任何谋求智力发展的意向和计"
1160,2393,划都是离不开阅读的。
1161,2395,第四，陶冶情操，培育品德。
1162,2395,"中学生正处于青春发育期，生理的
变化性大，同时他们的观念、 性格、 情感等又正在发展形成中，具有
不稳定性特点。"
1163,2395,"这就要求有足够数量的有益的读物来适应他们这种生
理的和心理的需要。"
1164,2395,"特别是在世界范围内，青少年的思想状况和品德
问题，正在成为社会性问题的情况下，一个社会主义现代化社会，如
果没有与之相适应的有益于身心发展的课外阅读活动，从思想认识上
随时把他们引导到健康方向上来，高度文明的社会就难以建成。"
1165,2395,"这也
是课外阅读十分重要的一个原因所在"
1166,2403,第五，能够因人而异，因材施教。
1167,2403,"在班级集体授课的情况下，教
师只能面对全体学生，教学内容、 学习程度和教学进度等，都赏划
一，至多只能照顾到上、 中、 下三类学生，无法适应个别。"
1168,2403,"而每个学
生的知识、 能力、 兴趣和要求各不相同，只有因人而异，因材施教，
才可能谋求个人才智的发展。"
1169,2403,"学生能否得到充分发展，主要的不由教
师在课内统一教学内容的多少来决定，而是由学生在课内外自觉吸收
多少来决定。"
1170,2403,"为了使学生能够更多地吸收东西，他们可能在课外根据
自己的意愿，确定阅读目标，选择阅读内容，安排阅读进度，以各尽
其才。"
1171,2414,"无需再多列举，仅上述五点，已足够表明课外阅读为什么重要，
以及重要到什么程度。"
1172,2414,"我们身为语文教师，怎可不如同重视课内阅读
那样去重视课外阅读，充分发挥它的多重教育作用，达到多重教育
目标?"
1173,2418,"课外阅读指导的要点
课外阅读和课内阅读，性质同属阅读，自然在总的目标，内容范
围，乃至指导方法方面，存在着共同点。"
1174,2418,但又由于有课内课外之别，
1175,2422,主要是阅读的条件不同，反映在指导上的侧重点也该有所区别。
1176,2424,成为我们的一个基本观点是，应该把课外阅读当作一个教育过
1177,2425,程，把它看作应予认真指导的活动。
1178,2425,"有人说 “人人皆阅读，会读是少
数”。"
1179,2425,事实可能确实如此。
1180,2425,中学生正在学习阅读，必定不在例外。
1181,2425,"这
并不奇怪，阅读本是件十分复杂的事，只是我们没有细致地研究过
它，把它看得比较容易罢了。"
1182,2425,"而课内课外阅读相比较，后者受到的指
导少，因而能自律的学生当会更少。"
1183,2432,"对于课外阅读，笔者个人也没有从生理的、 心理的、 语言文字和
逻辑等角度进行过研究，这里也只能从一般的认识水平上，约略地提
出几项指导要点。"
1184,2436,第一，要注重阅读的量，指导学生多读。
1185,2436,"课外阅读和课内阅读有
个显著的不同点，就是后者重在求质，目标是理解，用的主要是精读
的方法。"
1186,2436,"课外阅读则不然，它重在求量，目标是一般的了解，用的主
要是略读、 默读和速读的方法。"
1187,2441,先说略读。
1188,2441,"略读就是泛泛的读、 粗疏的读，只观其大意，得其概
要，不求深解。"
1189,2441,这样，才能增加数量，扩大视野，增广见闻。
1190,2441,"略读是
加快阅读速度，提高阅读效率的有效方法之一，它不仅需要在课外阅
读中采用，课内阅读也应取作辅助方法。"
1191,2441,"这在我们，实在是有必要强
调一下的。"
1192,2441,"我国的语文教学传统，是精读训练的传统，以咬文嚼字为
目标，以滚瓜烂熟为能事，下的是一番苦功夫。"
1193,2441,"加上建国以来，片面
学习苏联，重视理解，崇尚分析，从而导致偏重精读的结果，忽视了
泛读的社会应用性。"
1194,2441,"连课内的 “ 阅读课文”，也几乎都成了 “ 半精
读” 课文。"
1195,2441,"这个前后相承袭的传统，至今尚有广泛而深刻的影响，有
特别加以扭转的必要。"
1196,2452,再说默读。
1197,2452,默读就是不出声地读。
1198,2452,"它应是不手指、 不动唇、 不心
诵的读。"
1199,2452,"默读是阅读训练的终极目标，是阅读的基本方式，今天的朗
读训练多半也是为了明天的默读。"
1200,2452,这种阅读方式，不仅应是课外阅读
1201,2455,基本方式，即使在课内，也应伴随年级的升高，逐渐加重比例。
1202,2455,"但是
我国旧时代的语文教学，是朗读传统，一味要求大声地读。"
1203,2455,"五十年代
以来，也还是偏重有声有色的朗读，没有把 “无声无色” 的默读同时
当作主要的阅读方式。"
1204,2455,"现在，我们实在需要把默读的地位大大提高一
步。"
1205,2455,"因为它无需利用发音器官，能够加快阅读速度; 能够边读边思考
边记笔记，利于掌握读物内容; 它还能够培养自觉的阅读态度和
习惯。"
1206,2464,再来说速读。
1207,2464,速读就是理解的快速地读。
1208,2464,"它是一般人很少考虑的
一种阅读方式，更是没有进行过训练的阅读方式。"
1209,2464,"我们的课外阅读几
乎都是自流式，不计时间，不计精力。"
1210,2464,"这可能和我们的凡事不讲效率
大有关系。"
1211,2464,"尽管速读利于节约阅读时间，提高阅读效率，增强阅读效
果，从而符合知识剧增的客观形势的要求，但我们以前从未探讨过
它，更没有着意训练过，所以我们当中就很少有阅读效率很高的人。"
1212,2470,"假如一个中学生在同样的时限内，能用远高于他人的速度阅读同样的
内容，那么他在一生中，就可能阅读比别人多得多的东西，而这是何
等重大的事! 有鉴于此，我们极有必要在课内特别是课外阅读中，训
练速度，使阅读方式趋向效率化。"
1213,2470,"训练的方法，除了泛览大意的略读
以外，还可以采取挑选式的摘读、 寻找信息的掠读，以及限时读毕当
场答题的计时阅读等方式。"
1214,2477,第二，要注意思考力和观察力的培养。
1215,2478,先说思考力的培养。
1216,2478,"从阅读最需思考这个意义上说，阅读就是思
考。"
1217,2478,"真要达到阅读目的，就要提倡思考，“口而诵，心而惟”，在阅读
中思考，在思考中阅读。"
1218,2478,"也就是要一边阅读，一边归纳条理，寻求脉
络，发现主旨。"
1219,2478,"只有当学生肯于思考、 善于思考时，他才可能展卷有
益。"
1220,2478,读而不思，读而不解其意，读了等于不读。
1221,2478,"思考的阅读必备两个
条件一是要聚精会神，全神贯注，不被任何局外因素所干扰; 一是能
够提问、 分析、 推想和评论。"
1222,2486,再说观察力的培养。
1223,2486,"学生阅读的内容，无论是课内或课外的，在
作者是直接经验，亲自体验了的，而在学生，无一不是间接经验，是
依凭文字感受到的。"
1224,2486,"倘若他有过相似的经历，他可能理解得深; 若是
没有，他多半只能作表面的了解，想求得深一层的领会是不可能的。"
1225,2491,"这样，指导课外阅读，就要同时提倡观察，观察社会，观察自然，观
察读物中反映的现实，进而凭借观察所得，再现、 分析、 联想和评价
读物的内容。"
1226,2491,"在培养观察力方面，课外阅读有着较为优越的条件，它
不受课堂空间的局限，有着时间的灵活性。"
1227,2491,"课内阅读尚且需要观察训
练，指导课外阅读，更要推动学生接触周围的世界，从现实中丰富活
的知识，以为阅读的基础。"
1228,2498,"我们要把思考力和观察力的培养结合起来，一些伟大的作家都同
时强调这两方面。"
1229,2498,鲁迅就曾要读者 “自己思索，自己观察”。
1230,2498,"他还转
述英国伟大剧作家萧伯纳的话说 “较好的思索者，因为能用自己的脑
生活了，但还不免是空想，所以更好的是观察者，他用自己的眼睛去
读世间这一部活书。”"
1231,2498,"这就指明了思考和观察的不可分的关系，也指
明了阅读的根本途径。"
1232,2505,第三，要指导学生边阅读边写作。
1233,2506,"指导课外阅读、 既要学生从阅读中学习阅读，又要从阅读中学习
写作; 以读为主，让写也得到训练。"
1234,2506,"“读十遍不如抄一遍”，手到比眼
到的作用还大。"
1235,2506,"徐特立同志有一条宝贵的读书经验，叫作 “不动笔墨
不读书”，可说是极形象地表明了读和写的不可分割性。"
1236,2506,"这条经验，
对学校的阅读教学有着更为直接的意义。"
1237,2506,"因为，成年人的读书，其目
的多在阅读本身，而不在写作，而中学的阅读教学，其目的既在阅
读，又在写作。"
1238,2506,"读和写的能力得到和谐发展，也就增添了课外阅读的
价值。"
1239,2515,伴随课外阅读的写作训练方法多种多样，不胜枚举。
1240,2515,"举例说，或
标记词语句段，或标记思想精华所在，或摘录词语句段，或编制内容"
1241,2517,"提要，或就内容和形式提出问题，或针对观点、 疑点做出评语，或书
写札记，或整理作者事略，或摘抄作品时代背景资料，或写读后感
想，以至缩写、 扩写和续写原文等，无不可采用。"
1242,2522,第四，要指导利用工具书和图书馆。
1243,2523,"中学生应该具备利用工具书和图书馆的能力，道理是再明白不过
的，没有前一种能力，就意味着不能独立阅读; 没有后一种能力，就
意味着不能发展阅读。"
1244,2523,"因此，培养学生具备这两种能力，应是中学阅
读教学务期实现的目标。"
1245,2523,"不过，这里指的工具书，并非只指 《新华字
典》 和 《现代汉语小辞典》 之类，那是在小学就该学会的。"
1246,2523,"至于利用
图书馆，也不是仅指熟悉借阅制度而已。"
1247,2530,先说教学生学会利用工具书。
1248,2530,"凡有经验的教师都可证实，学生学
会使用工具书，能够增强阅读兴趣，激发学习的自觉性，形成自学能
力; 能够解答疑难问题，提供语言文字的或某种科学知识，有助于培
养严谨的求真态度，等等。"
1249,2530,"可以说，这些作用中，只要有其一，也就
有必要指导学生学会使用了。"
1250,2530,"但是，工具书是个含义广泛的概念，举
凡作为工具专供查阅的特定类型的书籍、 都属于工具书范围。"
1251,2530,"这里指
的是什么呢? 我们的想法是，指导学生用的工具书当然应该是很有限
的，但它不仅应包括 《辞海》 《辞源》，还应包括常用的专门性辞典，
如人名辞典、 地名辞典、 专业辞典 ( 《简明哲学辞典》 《新闻学小辞
典》 《简明语言学辞典》 《简明文学辞典》 ) 等。"
1252,2541,"指导使用工具书，应主要注意的有如下儿项一要简介常用的工具
书知识; 二是教给利用工具书的方法; 三是实际训练使用工具书，这
是最重要的一点。"
1253,2541,"使用工具书是个训练的过程，教师要利用课内外各
种场合，给以切实的不间断的训练。"
1254,2546,再说利用图书馆。
1255,2546,"教中学生如何利用图书馆，这个问题似乎有点
新鲜。"
1256,2546,"其实，早在 1921 年，黎锦熙就在他设计的小学语文教学步骤
中，明确无误地提了出来。"
1257,2546,他的三阶段六步骤教学的最后一个步骤就
1258,2549,是，“最要紧的是养成儿童到图书馆自由参考的习惯”。
1259,2549,"对小学生尚提
出如此要求，何况对中学生! 为使课外阅读达到理想境界，实在有十
足的理由要求教师指导学生学会利用图书馆—"
1260,2553,"—
—了解它的一般设施，
掌握普通的图书分类法，熟悉借阅图书的制度，学会翻检图书的方
法，以及了解图书资料索引的用法，等等。"
1261,2553,"学生学会了这些，必会给
以后的学习和工作带来极大的好处。"
1262,2560,"课外阅读指导的步骤和要求
课外阅读指导是语文教学的一部分，虽不像课内阅读指导要求那
样严格、 那么切实，但也是要依据一定的步骤和要求进行的。"
1263,2560,"在一般
情况下，课外阅读指导的步骤和要求，可以是下面这样"
1264,2564,第一步，有目的、 有计划地推荐读物。
1265,2564,"中学生求知欲旺盛，可阅
读多种多样的书以打开知识的宝库，丰富自己的头脑，增长才智。"
1266,2564,"但
是他们还比较幼稚，生活经验不足，鉴别能力不强，这就要求教师帮
助选择读物。"
1267,2570,"推荐读物，应尽量符合下列要求:
(1) 读物思想内容好，语言文字好，符合社会主义现代化的
需要;"
1268,2573,"(2) 读物的内容或形式，要尽可能和课内阅读相联结，求得课内
课外的相互促进;"
1269,2576,"(3) 读物的类型要尽可能广泛和多样，政论体读物、 科学体读
物、 文学体读物、 应用体读物等都应涉及，以现代作品为主，也要读
些古代作品和外国作品;"
1270,2580,(4) 要单独着重提出的是，读物应包括报刊。
1271,2580,"指导学生阅读报
刊，有着特殊的重要性，但它却往往不包括在课外阅读指导的范围之
内。"
1272,2580,我们为什么强调课外阅读报刊? 一是因为报刊等于百科全书，各
